# Generated from CC-CEDICT. Do not edit manually.
# direction<TAB>key<TAB>candidate...
e	a poker	鋊
e	a pole	撐杆
e	a policewoman	女警員
e	a polished stone implement	磨製石器
e	a polypus	瘜
e	a popular wave	熱捧
e	a portable lamp	提燈
e	a possession	所有物
e	a posteriori	後天
e	a pot of porridge	一鍋粥
e	a potpourri	雜集
e	a power	大國
e	a power struggle	爭霸
e	a powerful current	洪流
e	a powerful team	強隊
e	a practice drum	啞鼓
e	a prayer mat	跪毯
e	a preaching ministry	訓導職務
e	a preliminary study	初探
e	a prepared speech	宣讀
e	a preprint	預印本
e	a pretext	口實
e	a pretext for gossip	話柄
e	a principal viewpoint	主調
e	a print	印	版畫
e	a priori	先驗
e	a private firm	個體戶
e	a private whisper	切切私語
e	a problem appears	出毛病
e	a professional	內行	專業人士
e	a profiteer	倒爺
e	a projection	投影
e	a projective transformation	射影變換
e	a prop	撐杆	橕
e	a prophet	先知
e	a prostitute	么二
e	a protractor	分角器
e	a provincial capital	省垣	省治
e	a provocation	敲打鑼鼓
e	a psychedelic	迷幻劑
e	a pullover	套衫	套衫兒
e	a pump	唧筒
e	a punctuation mark	標點	標點符號
e	a punitive expedition	徵發
e	a punka	吊扇
e	a pure heart	純情
e	a pure shade	十足
e	a putrid carcass	骴
e	a pylon	電纜塔
e	a queen's ceremonial gowns	褘
e	a queue of people	人龍
e	a quick look	一眼
e	a quicker method	近道
e	a quid pro quo	對價
e	a racket	騙局	鼎沸
e	a radical change	旋乾轉坤
e	a radio	無線電
e	a raffle	慈善抽獎	抽獎
e	a raft	泭
e	a raging fire	煆
e	a rake	木齒耙	耙	耙子	草耙
e	a range of hills	群山
e	a rare genius	元寶
e	a rare treasure	奇珍
e	a rash	皮疹
e	a raven	大烏鴉
e	a reading group	書社
e	a real man	大男人
e	a real person	真人
e	a rebel	叛逆
e	a reception	招待會
e	a rectangular parallelepiped	正方體
e	a refined chant	雅歌
e	a reformed character	痛改前非
e	a refutation	駁詞
e	a regional accent	南腔北調
e	a register	版	簿	簿冊
e	a regret	缺憾
e	a relative	親戚	鄉戚
e	a relaxing pass-time	消愁解悶
e	a religion	教
e	a remarkable thing	異事
e	a remote ancestor	遠祖
e	a remote control	遙控器
e	a replacement	替補
e	a reply	回函	辯答
e	a reply telegram	回電
e	a republican party member	共和黨人
e	a request	願心
e	a requisition	徵發
e	a resolution	決議
e	a return call	回電
e	a return journey	打來回	走來回
e	a review	後感
e	a revolutionary	革命家
e	a reward	賞	賞賜
e	a rhyme	轍
e	a rich farmer	上農
e	a right angle	直角
e	a rioter	騷亂者
e	a rod	杖
e	a rogue	奸詐
e	a role to play	一席之地
e	a roll	卷	捲
e	a roly-poly	胖墩兒
e	a romance	桃花運
e	a rope	緪
e	a rope ladder	吊梯	繩梯
e	a rough diamond	大醇小疵
e	a rough mountain path	隒
e	a round flat cake	粑
e	a round vault	圓拱
e	a roundup	綜述
e	a rule	規
e	a ruler	尺
e	a rupture	決裂
e	a rush	蒯
e	a rustling noise	窸窣
e	a sacrifice	供奉
e	a safe	保險櫃	鐵箱
e	a sage	哲	聖賢
e	a saltmarsh	鹽鹼濕地
e	a saltpan	鹽池
e	a salvo	排射
e	a sand bar	沙壩
e	a sandbank	沙壩
e	a sash	紟
e	a sash window	吊窗
e	a saucer	杯托
e	a saudi	沙特阿拉伯人
e	a savage	野人
e	a saw	鋸	鋸子
e	a sawblade	鋸條
e	a sawframe	鋸架
e	a sawhorse	鋸木架
e	a sawyer	鋸工
e	a scam	騙人	騙局
e	a scheme	概型
e	a scholarly journal	學報
e	a school	庠
e	a scientific research group	科研小組
e	a scoundrel	奸民	鼠輩
e	a scout	偵察	偵察兵
e	a scratch	劃痕
e	a screening	上演
e	a scrivener	代書
e	a sea of flames	火海
e	a sea of people	人海
e	a seal	印	篆刻
e	a seat	席位
e	a second job	兼營
e	a secret	秘密	隱事	隱衷
e	a secret society	秘密會社
e	a see-saw	翹板
e	a seedling	芽苗
e	a self-made genius	自學成才
e	a selfie	自拍
e	a sellout	滿堂
e	a senior monk	高僧
e	a sense of propriety	進退
e	a sentence	一句
e	a sentimental attachment	敝帚自珍
e	a separate matter	異事
e	a series of	一系列	一連串	連串
e	a series of books	叢書
e	a series of tricks	套數
